Image,Date/Time,Latitude ref,Latitude,Longitude ref,Longitude,Altitude ref,Altitude,Variety,Flower,Plant (sum),Area (mm^2),Perimeter (mm)
Image00001.jpg,2019:01:15 11:43:27,N,52.2027,E,0.1216,Sea level,10 metres,A,1,1,394,92
Image00002.jpg,2019:01:15 11:43:51,N,52.2024,E,0.1215,Sea level,10 metres,A,2,1,344,87
Image00003.jpg,2019:01:15 11:44:06,N,52.2024,E,0.1216,Sea level,10 metres,A,3,1,383,86
Image00004.jpg,2019:01:15 11:44:35,N,52.2021,E,0.1214,Sea level,10 metres,A,1,2,496,98
Image00005.jpg,2019:01:15 11:44:56,N,52.2022,E,0.1214,Sea level,10 metres,A,2,2,257,80
Image00006.jpg,2019:01:15 11:45:25,N,52.2022,E,0.1214,Sea level,10 metres,A,1,3,308,89
Image00007.jpg,2019:01:15 11:45:47,N,52.2022,E,0.1215,Sea level,10 metres,A,2,3,271,76
Image00008.jpg,2019:01:15 11:46:22,N,52.2023,E,0.1217,Sea level,10 metres,A,3,3,258,73
Image00009.jpg,2019:01:15 11:46:53,N,52.2024,E,0.1217,Sea level,10 metres,A,1,4,165,70
Image00010.jpg,2019:01:15 11:47:18,N,52.2024,E,0.1217,Sea level,10 metres,A,2,4,354,84
Image00011.jpg,2019:01:15 11:47:39,N,52.2023,E,0.1217,Sea level,10 metres,A,3,4,342,87
Image00012.jpg,2019:01:15 11:47:56,N,52.2023,E,0.1216,Sea level,10 metres,A,1,5,315,87
Image00013.jpg,2019:01:15 11:48:16,N,52.2023,E,0.1216,Sea level,10 metres,A,2,5,303,87
Image00014.jpg,2019:01:15 11:48:34,N,52.2023,E,0.1216,Sea level,10 metres,A,3,5,271,78
Image00015.jpg,2019:01:15 11:49:12,N,52.2024,E,0.1216,Sea level,10 metres,A,1,6,360,89
Image00016.jpg,2019:01:15 11:49:32,N,52.2023,E,0.1216,Sea level,10 metres,A,2,6,369,92
Image00017.jpg,2019:01:15 11:49:51,N,52.2024,E,0.1216,Sea level,10 metres,A,3,6,340,84
Image00018.jpg,2019:01:15 11:50:47,N,52.2027,E,0.1217,Sea level,10 metres,A,1,7,264,79
Image00019.jpg,2019:01:15 11:51:08,N,52.2025,E,0.1216,Sea level,10 metres,A,2,7,281,75
Image00020.jpg,2019:01:15 11:51:36,N,52.2025,E,0.1216,Sea level,10 metres,A,3,7,338,85
Image00021.jpg,2019:01:15 11:51:58,N,52.2025,E,0.1216,Sea level,10 metres,A,3,7,251,77
Image00022.jpg,2019:01:15 11:52:23,N,52.2024,E,0.1215,Sea level,10 metres,A,1,8,290,75
Image00023.jpg,2019:01:15 11:52:53,N,52.2023,E,0.1215,Sea level,10 metres,A,2,8,173,76
Image00024.jpg,2019:01:15 11:53:12,N,52.2023,E,0.1215,Sea level,10 metres,A,3,8,310,84
Image00025.jpg,2019:01:15 11:53:52,N,52.2023,E,0.1216,Sea level,10 metres,A,1,9,317,82
Image00026.jpg,2019:01:15 11:54:15,N,52.2023,E,0.1216,Sea level,10 metres,A,2,9,330,88
Image00027.jpg,2019:01:15 11:54:30,N,52.2023,E,0.1216,Sea level,10 metres,A,3,9,403,98
Image00028.jpg,2019:01:15 12:07:09,N,52.2027,E,0.1216,Sea level,11 metres,A,1,10,361,89
Image00029.jpg,2019:01:15 12:07:24,N,52.2023,E,0.1215,Sea level,10 metres,A,2,10,247,84
Image00030.jpg,2019:01:15 12:08:00,N,52.2021,E,0.1214,Sea level,10 metres,A,1,11,377,85
Image00031.jpg,2019:01:15 12:08:19,N,52.2021,E,0.1215,Sea level,10 metres,A,2,11,295,75
Image00032.jpg,2019:01:15 12:08:48,N,52.202,E,0.1215,Sea level,10 metres,A,3,11,251,75
Image00033.jpg,2019:01:15 12:09:11,N,52.2019,E,0.1215,Sea level,10 metres,A,1,12,240,81
Image00034.jpg,2019:01:15 12:09:33,N,52.2018,E,0.1214,Sea level,10 metres,A,2,12,354,80
Image00035.jpg,2019:01:15 12:09:53,N,52.2019,E,0.1216,Sea level,10 metres,A,3,12,317,79
Image00036.jpg,2019:01:15 12:10:15,N,52.2019,E,0.1216,Sea level,10 metres,A,1,13,275,70
Image00037.jpg,2019:01:15 12:10:32,N,52.2019,E,0.1217,Sea level,10 metres,A,2,13,358,87
Image00038.jpg,2019:01:15 12:11:17,N,52.2027,E,0.1216,Sea level,11 metres,A,3,13,346,83
Image00039.jpg,2019:01:15 12:11:44,N,52.2025,E,0.1215,Sea level,10 metres,A,1,14,391,92
Image00040.jpg,2019:01:15 12:12:04,N,52.2023,E,0.1216,Sea level,10 metres,A,2,14,369,89
Image00041.jpg,2019:01:15 12:12:19,N,52.202,E,0.1218,Sea level,10 metres,A,3,14,318,87
Image00042.jpg,2019:01:15 12:12:41,N,52.2021,E,0.1218,Sea level,10 metres,A,1,15,313,85
Image00043.jpg,2019:01:15 12:13:18,N,52.2019,E,0.1217,Sea level,10 metres,A,2,15,239,75
Image00044.jpg,2019:01:15 12:13:48,N,52.2026,E,0.1216,Sea level,10 metres,A,3,15,389,90
Image00045.jpg,2019:01:15 12:14:09,N,52.2025,E,0.1216,Sea level,10 metres,A,1,16,257,81
Image00046.jpg,2019:01:15 12:14:40,N,52.2023,E,0.1214,Sea level,10 metres,A,1,16,311,82
Image00047.jpg,2019:01:15 12:15:22,N,52.2025,E,0.1216,Sea level,10 metres,A,3,16,345,93
Image00048.jpg,2019:01:15 12:15:39,N,52.2023,E,0.1216,Sea level,10 metres,A,1,17,334,91
Image00049.jpg,2019:01:15 12:15:56,N,52.2023,E,0.1215,Sea level,10 metres,A,2,17,337,90
Image00050.jpg,2019:01:15 12:16:13,N,52.2023,E,0.1215,Sea level,10 metres,A,3,17,330,84
Image00051.jpg,2019:01:15 12:16:33,N,52.2022,E,0.1215,Sea level,10 metres,A,1,18,278,83
Image00052.jpg,2019:01:15 12:16:53,N,52.2022,E,0.1214,Sea level,10 metres,A,2,18,239,85
Image00053.jpg,2019:01:15 12:17:14,N,52.2022,E,0.1215,Sea level,10 metres,A,3,18,276,73
Image00054.jpg,2019:01:15 12:17:39,N,52.2023,E,0.1216,Sea level,10 metres,A,1,19,312,92
Image00055.jpg,2019:01:15 12:17:56,N,52.2027,E,0.1216,Sea level,11 metres,A,2,19,202,73
Image00056.jpg,2019:01:15 12:18:45,N,52.2021,E,0.1213,Sea level,10 metres,A,1,20,306,82
Image00057.jpg,2019:01:15 12:19:01,N,52.202,E,0.1213,Sea level,10 metres,A,2,20,295,76
Image00058.jpg,2019:01:15 12:19:16,N,52.202,E,0.1212,Sea level,10 metres,A,3,20,387,92
Image00059.jpg,2019:01:15 12:19:58,N,52.2028,E,0.1216,Sea level,11 metres,A,1,21,266,75
Image00060.jpg,2019:01:15 12:20:14,N,52.2022,E,0.1216,Sea level,10 metres,A,2,21,228,83
Image00061.jpg,2019:01:15 12:20:30,N,52.2022,E,0.1215,Sea level,10 metres,A,3,21,272,84
Image00062.jpg,2019:01:15 12:20:48,N,52.2021,E,0.1214,Sea level,10 metres,A,1,22,327,86
Image00063.jpg,2019:01:15 12:21:12,N,52.2019,E,0.1215,Sea level,10 metres,A,2,22,285,76
Image00064.jpg,2019:01:15 12:21:28,N,52.2019,E,0.1215,Sea level,10 metres,A,3,22,383,90
Image00065.jpg,2019:01:15 12:21:54,N,52.2019,E,0.1214,Sea level,10 metres,A,1,23,256,76
Image00066.jpg,2019:01:15 12:22:16,N,52.2019,E,0.1214,Sea level,10 metres,A,2,23,345,90
Image00067.jpg,2019:01:15 12:22:30,N,52.2018,E,0.1216,Sea level,10 metres,A,3,23,271,78
Image00068.jpg,2019:01:15 12:22:54,N,52.202,E,0.1215,Sea level,10 metres,A,1,24,355,89
Image00069.jpg,2019:01:15 12:23:11,N,52.202,E,0.1215,Sea level,10 metres,A,2,24,259,75
Image00070.jpg,2019:01:15 12:23:32,N,52.2021,E,0.1215,Sea level,10 metres,A,3,24,308,79
Image00071.jpg,2019:01:15 12:24:03,N,52.2019,E,0.1216,Sea level,10 metres,A,1,25,311,81
Image00072.jpg,2019:01:15 12:24:23,N,52.202,E,0.1217,Sea level,10 metres,A,2,25,380,90
Image00073.jpg,2019:01:15 12:24:38,N,52.202,E,0.1217,Sea level,10 metres,A,3,25,286,77
Image00074.jpg,2019:01:15 12:25:05,N,52.202,E,0.1217,Sea level,10 metres,A,1,26,240,69
Image00075.jpg,2019:01:15 12:25:37,N,52.2019,E,0.1217,Sea level,10 metres,A,3,26,420,97
